symbol;Latitude;Longitude
V;37,77500153;-122,418335
VAR;37,44194412;-122,1419449
WAT;41,22222137;-73,0569458
WDC;33,66944504;-117,8222198
WEC;43,03888702;-87,90638733
VFC;36,07249832;-79,79222107
WFC;37,77500153;-122,418335
WFM;30,26694489;-97,74277496
VIAB;40,71416855;-74,0063858
VLO;29,42388916;-98,49333191
WLTW;51,51412582;-0,093689002
WM;29,7630558;-95,36305237
WMB;36,1538887;-95,99250031
VMC;33,5205574;-86,80249786
VNO;40,71416855;-74,0063858
WRK;37,93583298;-122,3466644
WRK;37,55361176;-77,46055603
VRSK;40,72805405;-74,07805634
VRTX;42,375;-71,10610962
VTR;41,84999847;-87,65000153
WY;47,32249832;-122,3113861
WYNN;36,17499924;-115,1363907
VZ;40,71416855;-74,0063858
XEC;39,73916626;-104,984169
XEL;44,97999954;-93,26361084
XL;39,39944458;-84,56138611
XLNX;37,33944321;-121,8938904
XOM;32,81388855;-96,9486084
XRX;41,11750031;-73,40833282
XRX;33,90222168;-118,0808334
XYL;41,03388977;-73,76333618
YHOO;37,36888885;-122,0352783
YUM;38,25416565;-85,75944519
ZION;40,76083374;-111,890274
